Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Name,Wochentag,Wochentag_Nummer,Monat,Quartal,Ist_Wochenende,Ist_Feiertag,Temperatur_Kategorie,Feiertagsnaehe,Umsatz_Trend_7_Tage
2013-07-01,1,148.828353112183,0.0,6.0,17.8375,15.0,20.0,0,Monday,0,7,3,0,0,Mild,0,148.828353112183
2013-07-02,1,159.79375714468,0.0,3.0,17.3125,10.0,0.0,0,Tuesday,1,7,3,0,0,Mild,0,154.31105512843152
2013-07-03,1,111.885593514353,0.0,7.0,21.075,6.0,61.0,0,Wednesday,2,7,3,0,0,Warm,0,140.16923459040535
2013-07-04,1,168.864940979931,0.0,7.0,18.85,7.0,20.0,0,Thursday,3,7,3,0,0,Mild,0,147.34316118778673
2013-07-05,1,171.280754117955,0.0,5.0,19.975,12.0,0.0,0,Friday,4,7,3,0,0,Mild,0,152.13067977382042
2013-07-06,1,174.552359998476,0.0,0.0,18.9625,8.0,0.0,0,Saturday,5,7,3,1,0,Mild,0,155.86762647792966
2013-07-07,1,92.6377553788373,0.0,0.0,21.375,9.0,0.0,0,Sunday,6,7,3,1,0,Warm,0,146.8347877494879
2013-07-08,1,135.500244042392,0.0,0.0,22.725,10.0,5.0,0,Monday,0,7,3,0,0,Warm,0,144.9307721680892
2013-07-09,1,136.048382778344,0.0,0.0,23.275,8.0,0.0,0,Tuesday,1,7,3,0,0,Warm,0,141.5385758300412
2013-07-10,1,135.132314289581,0.0,2.0,19.6875,13.0,5.0,0,Wednesday,2,7,3,0,0,Mild,0,144.85953594078802
2013-07-11,1,138.549392636714,0.0,0.0,21.375,12.0,5.0,0,Thursday,3,7,3,0,0,Warm,0,140.5287433203285
2013-07-12,1,101.447511461298,0.0,0.0,20.2875,7.0,0.0,0,Friday,4,7,3,0,0,Warm,0,130.55256579794892
2013-07-13,1,141.233309883732,0.0,1.0,20.125,12.0,0.0,0,Saturday,5,7,3,1,0,Warm,0,125.79270149584262
2013-07-14,1,112.524365708762,0.0,5.0,17.6875,15.0,5.0,0,Sunday,6,7,3,1,0,Mild,0,128.633645828689
2013-07-15,1,161.264677322182,0.0,6.0,18.7375,12.0,0.0,0,Monday,0,7,3,0,0,Mild,0,132.31427915437328
2013-07-16,1,116.821358174215,0.0,1.0,21.1875,10.0,0.0,0,Tuesday,1,7,3,0,0,Warm,0,129.56756135378342
2013-07-17,1,150.572919592838,0.0,5.0,22.5125,8.0,0.0,0,Wednesday,2,7,3,0,0,Warm,0,131.77336211139158
2013-07-18,1,101.90072129658,0.0,1.0,23.25,11.0,5.0,0,Thursday,3,7,3,0,0,Warm,0,126.53783763422958
2013-07-19,1,161.63511518654,0.0,3.0,22.475,16.0,5.0,0,Friday,4,7,3,0,0,Warm,0,135.1360667378356
2013-07-20,1,134.328076682024,0.0,0.0,23.1875,8.0,0.0,0,Saturday,5,7,3,1,0,Warm,0,134.14960485187729
2013-07-21,1,66.2887578161955,0.0,0.0,26.375,8.0,0.0,0,Sunday,6,7,3,1,0,Warm,0,127.54451801008206
