Datum,Feiertag,Name,Art,Details
,,,,
,,,,
1. Jan,Montag,Neujahrstag,Nationaler Feiertag,
6. Jan,Samstag,Heilige Drei Könige,"Fest- oder Gedenktag, Christlich","NDS*, SN, TH"
6. Jan,Samstag,Heilige Drei Könige,Regionaler Feiertag,"BW, BY, ST"
22. Jan,Montag,Deutsch-Französischer Tag,Fest- oder Gedenktag,
27. Jan,Samstag,Tag des Gedenkens an die Opfer des Nationalsozialismus,Fest- oder Gedenktag,
,,,,
12. Feb,Montag,Rosenmontag,"Fest- oder Gedenktag, Christlich",
13. Feb,Dienstag,Faschingsdienstag,Fest- oder Gedenktag,
14. Feb,Mittwoch,Aschermittwoch,Stiller Tag,
14. Feb,Mittwoch,Valentinstag,Fest- oder Gedenktag,
,,,,
8. Mär,Donnerstag,Internationaler Frauentag,Fest- oder Gedenktag,
17. Mär,Samstag,St. Patrick's Day,"Fest- oder Gedenktag, Christlich",
18. Mär,Sonntag,Jahrestag der Märzrevolution,Fest- oder Gedenktag,Berlin
20. Mär,Dienstag,März-Tagundnachtgleiche,Jahreszeit (kein Feiertag),
25. Mär,Sonntag,Palmsonntag,"Fest- oder Gedenktag, Christlich",
25. Mär,Sonntag,Beginn der Sommerzeit,Zeitumstellung,
29. Mär,Donnerstag,Gründonnerstag,"Fest- oder Gedenktag, Christlich","Alle außer BY, HE, NRW, RLP, SL"
29. Mär,Donnerstag,Gründonnerstag,Stiller Tag,"BY, HE, NRW, RLP, SL"
30. Mär,Freitag,Karfreitag,"Nationaler Feiertag, Christlich",
31. Mär,Samstag,Karsamstag,Stiller Tag,"BY, HE, NDS, RLP, SL"
31. Mär,Samstag,Pessach Tag 1,"Fest- oder Gedenktag, Jüdisch","BY, HB, SL"
,,,,
1. Apr,Sonntag,Ostern,"Fest- oder Gedenktag, Christlich",Alle außer BB
1. Apr,Sonntag,Ostern,"Christlich, Regionaler Feiertag",Brandenburg
1. Apr,Sonntag,Pessach Tag 2,"Fest- oder Gedenktag, Jüdisch","BY, HB, SL"
2. Apr,Montag,Ostermontag,"Nationaler Feiertag, Christlich",
5. Apr,Donnerstag,Pessach Tag 6,"Fest- oder Gedenktag, Jüdisch","BY, HB, SL"
6. Apr,Freitag,Pessach Tag 7,"Fest- oder Gedenktag, Jüdisch","BY, HB, SL"
23. Apr,Montag,Tag des Deutschen Bieres,Fest- oder Gedenktag,
26. Apr,Donnerstag,Girls' Day / Boys' Day,Fest- oder Gedenktag,
30. Apr,Montag,Walpurgisnacht,Fest- oder Gedenktag,
,,,,
1. Mai,Dienstag,Tag der Arbeit,Nationaler Feiertag,
5. Mai,Samstag,Europatag (Europarat),Fest- oder Gedenktag,
8. Mai,Dienstag,Jahrestag der Befreiung vom Nationalsozialismus,Fest- oder Gedenktag,"B, BB, HB, MVP, TH"
9. Mai,Mittwoch,Europatag (EU),Fest- oder Gedenktag,
10. Mai,Donnerstag,Vatertag,Fest- oder Gedenktag,
10. Mai,Donnerstag,Christi Himmelfahrt,"Nationaler Feiertag, Christlich",
13. Mai,Sonntag,Muttertag,Fest- oder Gedenktag,
20. Mai,Sonntag,Pfingsten,"Fest- oder Gedenktag, Christlich",Alle außer BB
