Datum,Wochentag,Feiertag
2012-01-01,Sonntag,Neujahr
2012-04-06,Freitag,Karfreitag
2012-04-09,Montag,Ostermontag
2012-05-01,Dienstag,Tag der Arbeit
2012-05-17,Donnerstag,Christi Himmelfahrt
2012-05-28,Montag,Pfingstmontag
2012-10-03,Mittwoch,Tag der Deutschen Einheit
2012-12-25,Dienstag,1. Weihnachtstag
2012-12-26,Mittwoch,2. Weihnachtstag
2013-01-01,Dienstag,Neujahr
2013-03-29,Freitag,Karfreitag
2013-04-01,Montag,Ostermontag
2013-05-01,Mittwoch,Tag der Arbeit
2013-05-09,Donnerstag,Christi Himmelfahrt
2013-05-20,Montag,Pfingstmontag
2013-10-03,Donnerstag,Tag der Deutschen Einheit
2013-12-25,Mittwoch,1. Weihnachtstag
2013-12-26,Donnerstag,2. Weihnachtstag
2014-01-01,Mittwoch,Neujahr
2014-04-18,Freitag,Karfreitag
2014-04-21,Montag,Ostermontag
2014-05-01,Donnerstag,Tag der Arbeit
2014-05-29,Donnerstag,Christi Himmelfahrt
2014-06-09,Montag,Pfingstmontag
2014-10-03,Freitag,Tag der Deutschen Einheit
2014-12-25,Donnerstag,1. Weihnachtstag
2014-12-26,Freitag,2. Weihnachtstag
2015-01-01,Donnerstag,Neujahr
2015-04-03,Freitag,Karfreitag
2015-04-06,Montag,Ostermontag
2015-05-01,Freitag,Tag der Arbeit
2015-05-14,Donnerstag,Christi Himmelfahrt
2015-05-25,Montag,Pfingstmontag
2015-10-03,Samstag,Tag der Deutschen Einheit
2015-12-25,Freitag,1. Weihnachtstag
2015-12-26,Samstag,2. Weihnachtstag
2016-01-01,Freitag,Neujahr
2016-03-25,Freitag,Karfreitag
2016-03-28,Montag,Ostermontag
2016-05-01,Sonntag,Tag der Arbeit
2016-05-05,Donnerstag,Christi Himmelfahrt
2016-05-16,Montag,Pfingstmontag
2016-10-03,Montag,Tag der Deutschen Einheit
2016-12-25,Sonntag,1. Weihnachtstag
2016-12-26,Montag,2. Weihnachtstag
2017-01-01,Sonntag,Neujahr
2017-04-14,Freitag,Karfreitag
2017-04-17,Montag,Ostermontag
2017-05-01,Montag,Tag der Arbeit
2017-05-25,Donnerstag,Christi Himmelfahrt
2017-06-05,Montag,Pfingstmontag
2017-10-03,Dienstag,Tag der Deutschen Einheit
2017-12-25,Montag,1. Weihnachtstag
2017-12-26,Dienstag,2. Weihnachtstag
2018-01-01,Montag,Neujahr
2018-03-30,Freitag,Karfreitag
2018-04-02,Montag,Ostermontag
2018-05-01,Dienstag,Tag der Arbeit
2018-05-10,Donnerstag,Christi Himmelfahrt
2018-05-21,Montag,Pfingstmontag
2018-10-03,Mittwoch,Tag der Deutschen Einheit
2018-10-31,Mittwoch,Reformationstag
2018-12-25,Dienstag,1. Weihnachtstag
2018-12-26,Mittwoch,2. Weihnachtstag
2019-01-01,Dienstag,Neujahr
2019-04-19,Freitag,Karfreitag
2019-04-22,Montag,Ostermontag
2019-05-01,Mittwoch,Tag der Arbeit
2019-05-30,Donnerstag,Christi Himmelfahrt
2019-06-10,Montag,Pfingstmontag
